name                     avg         min         max         stdev       n_samples   
n_units_decision         188.5000    139.0000    218.0000    29.7195     4.0000      
time_decision            12.7990     12.5810     13.0830     0.2193      4.0000      
decision_height          2.0000      2.0000      2.0000      0.0000      4.0000      
new_level_times          6.4390      6.0500      6.5470      0.1812      6.0000      
create_ord_del           18.8755     15.1130     24.1740     2.2803      46.0000     
add_ord_del              17.3992     11.0180     23.4700     2.2371      708.0000    
units_sent_sync          7.1656      0.0000      23.0000     5.4121      151.0000    
units_recv_sync          7.8874      0.0000      30.0000     6.0116      151.0000    
time_per_sync            0.0303      0.0030      0.1220      0.0238      151.0000    
time_per_unit_ex         0.0030      0.0001      0.0610      0.0062      151.0000    
bytes_per_unit_ex        215.2020    125.9091    344.0000    24.3737     151.0000    
sync_fail                0.0000      0.0000      0.0000      0.0000      1.0000      
memory_MiB               58.6625     23.0000     94.0000     20.9332     80.0000     
